case_complexity,original_median,original_ci_low,original_ci_high,suppressed_median,suppressed_ci_low,suppressed_ci_high,difference,difference_ci_low,difference_ci_high,relative_reduction_percent,p_value
Complex,12.0,11.3,12.6,4.6,3.6,5.4,-7.4,-7.7,-7.1,61.6,<.001
Simple,10.5,9.7,11.2,4.7,3.9,5.6,-5.7,-6.0,-5.4,55.6,<.001
